Date,AAPL,MSFT,TSLA,SPY,TLT,GLD
2020-01-02,72.4005355834961,152.15838623046875,28.68400001525879,296.88818359375,114.62266540527344,143.9499969482422
2020-01-03,71.69664764404297,150.26377868652344,29.534000396728516,294.64007568359375,116.38793182373047,145.86000061035156
2020-01-06,72.2679214477539,150.6521453857422,30.1026668548584,295.7641296386719,115.72700500488281,147.38999938964844
2020-01-07,71.92803955078125,149.27854919433594,31.270666122436523,294.9324645996094,115.1581039428711,147.97000122070312
2020-01-08,73.0851058959961,151.65634155273438,32.80933380126953,296.5043640136719,114.3967514038086,146.86000061035156
2020-01-09,74.63749694824219,153.5509490966797,32.089332580566406,298.51483154296875,114.79834747314453,146.02999877929688
2020-01-10,74.80623626708984,152.84048461914062,31.876667022705078,297.65576171875,115.81903839111328,146.91000366210938
2020-01-13,76.40440368652344,154.6782684326172,34.990665435791016,299.70294189453125,115.46763610839844,145.82000732421875
2020-01-14,75.3727035522461,153.58883666992188,35.861331939697266,299.2459716796875,116.06159973144531,145.69000244140625
2020-01-15,75.04969024658203,154.58349609375,34.56666564941406,299.9222412109375,116.83128356933594,146.5399932861328
2020-01-16,75.98983001708984,157.41598510742188,34.232666015625,302.4171142578125,116.4632568359375,146.30999755859375
2020-01-17,76.83108520507812,158.2969970703125,34.03333282470703,303.35833740234375,115.46763610839844,146.5800018310547
2020-01-21,76.3104019165039,157.72862243652344,36.47999954223633,302.7643127441406,116.6807632446289,146.74000549316406
2020-01-22,76.58280181884766,156.9707489013672,37.97066879272461,302.80096435546875,117.09066772460938,146.7899932861328
2020-01-23,76.95162200927734,157.93704223632812,38.14666748046875,303.1482238769531,117.9105224609375,147.1199951171875
2020-01-24,76.72984313964844,156.34555053710938,37.654666900634766,300.4522705078125,118.86421203613281,147.97999572753906
2020-01-27,74.47357940673828,153.73094177246094,37.201332092285156,295.63623046875,120.71314239501953,148.99000549316406
2020-01-28,76.58039855957031,156.74342346191406,37.793331146240234,298.7342224121094,119.76775360107422,147.66000366210938
2020-01-29,78.18340301513672,159.18753051757812,38.732666015625,298.4874267578125,120.93900299072266,148.4600067138672
2020-01-30,78.07012176513672,163.6778106689453,42.72066879272461,299.45611572265625,120.95576477050781,148.47000122070312
2020-01-31,74.60856628417969,161.26219177246094,43.371334075927734,294.0187072753906,122.06011962890625,149.3300018310547
2020-02-03,74.40367126464844,165.19351196289062,52.0,296.2027587890625,121.96117401123047,148.36000061035156
2020-02-04,76.8600082397461,170.63113403320312,59.137332916259766,300.71722412109375,120.31868743896484,146.42999267578125
2020-02-05,77.48675537109375,170.42271423339844,48.97999954223633,304.1899719238281,119.0030746459961,146.61000061035156
2020-02-06,78.39311981201172,173.9562225341797,49.930667877197266,305.2134094238281,119.53944396972656,147.39999389648438
2020-02-07,77.3275375366211,174.20254516601562,49.871334075927734,303.58685302734375,121.031005859375,147.7899932861328
2020-02-10,77.69480895996094,178.75909423828125,51.41866683959961,305.85321044921875,121.3662109375,148.1699981689453
2020-02-11,77.22605895996094,174.7235565185547,51.62533187866211,306.3832702636719,120.7544937133789,147.66000366210938
2020-02-12,79.05999755859375,174.9793243408203,51.15266799926758,308.35723876953125,120.14269256591797,147.5399932861328
2020-02-13,78.49700927734375,174.03199768066406,53.599998474121094,308.02825927734375,120.60367584228516,148.3800048828125
2020-02-14,78.51634979248047,175.58560180664062,53.33533477783203,308.521728515625,121.13153839111328,149.0
2020-02-18,77.07868194580078,177.36654663085938,57.22666549682617,307.7266540527344,121.96117401123047,150.91000366210938
2020-02-19,78.1949691772461,177.89849853515625,61.16133117675781,309.19793701171875,121.95283508300781,151.7899932861328
2020-02-20,77.39279174804688,175.18174743652344,59.96066665649414,307.927734375,122.9080810546875,152.41000366210938
2020-02-21,75.64099884033203,169.64382934570312,60.06666564941406,304.7565612792969,124.05619812011719,154.6999969482422
2020-02-24,72.04801177978516,162.32955932617188,55.58599853515625,294.6492614746094,125.90809631347656,156.08999633789062
2020-02-25,69.60758972167969,159.6508026123047,53.32733154296875,285.72076416015625,126.5785140991211,153.3000030517578
2020-02-26,70.71182250976562,161.6456298828125,51.91999816894531,284.6697998046875,125.90809631347656,153.97000122070312
2020-02-27,66.08950805664062,150.25619506835938,45.266666412353516,271.884765625,127.27406311035156,154.0
